Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,36,5,18,"5, 6, 7, 9,10,11,13","18, 1, 2, 3, 4, 8,12,14,15,16,17,19,20",1050,1950,57.58,139.578,992.42,1810.422,3000,2802.842,1401.421,7,13,"0,34,51,93,160.1,219.7,257.9,287.9","0,48,145,198,265,319,343,366,414,488.8,515.6,576.7,609.09,697.89"
1,37,5,19,"5, 6, 7,10,12,14,15,16,17","19, 1, 2, 3, 4, 8, 9,11,13,18,20",1350,1650,65.92,129.454,1284.08,1520.546,3000,2804.626,1402.313,9,11,"0,34,51,78,143,166,214,288.8,315.6,329.6","0,95,192,245,312,366,444,464.5,502.7,526.1,614.87,647.27"
1,38,5,20,"5, 6, 7, 9,12,16,17,18","20, 1, 2, 3, 4, 8,10,11,13,14,15,19",1200,1800,47.06,143.778,1152.94,1656.222,3000,2809.162,1404.581,8,12,"0,34,51,93,148,170.4,197.2,223.3,235.3","0,79,176,229,296,350,422.5,482.1,520.3,589.3,637.3,686.5,718.89"
1,39,10,1,"10, 2, 3, 8,12,14,15,19,20","1, 4, 5, 6, 7, 9,11,13,16,17,18",1350,1650,65.958,72.96,1284.042,1577.04,3000,2861.082,1430.541,9,11,"0,32,85,127,151,174,222,271.2,303.59,329.79","0,21,63,97,114,156,176.5,214.7,263.9,290.7,316.8,364.8"
1,40,10,2,"10, 1, 4, 5, 6, 7,12,14,16,17,18","2, 3, 8, 9,11,13,15,19,20",1650,1350,85.36,97.658,1564.64,1252.342,3000,2816.982,1408.491,11,9,"0,85,106,148,182,199,244,267,294.5,321.3,347.4,426.8","0,53,95,173,193.5,231.7,348.7,397.9,430.29,488.29"
1,41,10,3,"10, 1, 2, 6, 7, 8,12,16,17,18","3, 4, 5, 9,11,13,14,15,19,20",1500,1500,93.34,81.258,1406.66,1418.742,3000,2825.402,1412.701,10,10,"0,85,182,211,228,288,312,334.4,361.2,387.3,466.7","0,67,109,121,141.5,179.7,248.7,296.7,345.9,378.29,406.29"
1,42,10,4,"10, 1, 2, 3, 6, 7, 8,12,14,15,19,20","4, 5, 9,11,13,16,17,18",1800,1200,110.558,50.36,1689.442,1149.64,3000,2839.082,1419.541,12,8,"0,85,182,235,273,290,350,374,397,445,494.2,526.59,552.79","0,42,54,74.5,112.7,161.9,188.7,214.8,251.8"
1,43,10,5,"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,111.758,53.16,1538.242,1296.84,3000,2835.082,1417.541,11,9,"0,85,182,235,302,356,380,403,451,500.2,532.59,558.79","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
1,44,10,6,"10, 1, 2, 3, 4, 5, 9,11,13,16,17,18","6, 7, 8,12,14,15,19,20",1800,1200,119.24,62.118,1680.76,1137.882,3000,2818.642,1409.321,12,8,"0,85,182,235,302,344,356,376.5,414.7,463.9,490.7,516.8,596.2","0,17,77,101,124,172,221.2,253.59,310.59"
1,45,10,7,"10, 1, 2, 3, 4, 5, 6, 9,11,13,16,17,18","7, 8,12,14,15,19,20",1950,1050,129.64,55.318,1820.36,994.682,3000,2815.042,1407.521,13,7,"0,85,182,235,302,344,378,408,428.5,466.7,515.9,542.7,568.8,648.2","0,60,84,107,155,204.2,236.59,276.59"
1,46,10,8,"10,12,14,15,19,20","8, 1, 2, 3, 4, 5, 6, 7, 9,11,13,16,17,18",900,2100,48.758,123.56,851.242,1976.44,3000,2827.682,1413.841,6,14,"0,65,88,136,185.2,217.59,243.79","0,33,130,183,250,292,326,343,385,405.5,443.7,492.9,519.7,545.8,617.8"
1,47,10,9,"10,12,16,17,18,19","9, 1, 2, 3, 4, 5, 6, 7, 8,11,13,14,15,20",900,2100,47.46,154.846,852.54,1945.154,3000,2797.694,1398.847,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,61,158,211,278,320,354,371,431,521,559.2,628.2,676.2,693.23,774.23"
1,48,10,11,"10,12,14,15,19,20","11, 1, 2, 3, 4, 5, 6, 7, 8, 9,13,16,17,18",900,2100,48.758,138.58,851.242,1961.42,3000,2812.662,1406.331,6,14,"0,65,88,136,185.2,217.59,243.79","0,78,175,228,295,337,371,388,448,526,551.1,600.3,627.1,653.2,692.9"
1,49,10,12,"10,14,15,19,20","12, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",750,2250,39.558,135.56,710.442,2114.44,3000,2824.882,1412.441,5,15,"0,42,90,139.2,171.59,197.79","0,21,118,171,238,280,314,331,391,469,489.5,527.7,576.9,603.7,629.8,677.8"
1,50,10,13,"10, 1, 4, 5, 6, 7,12,14,15,16","13, 2, 3, 8, 9,11,17,18,19,20",1500,1500,91.26,109.458,1408.74,1390.542,3000,2799.282,1399.641,10,10,"0,85,106,148,182,199,244,267,315,389.8,456.3","0,78,131,173,251,271.5,295.8,321.9,408.9,441.29,547.29"
1,51,10,14,"10, 1, 4, 5, 6, 7,12,16,17,18","14, 2, 3, 8, 9,11,13,15,19,20",1500,1500,79.74,106.058,1420.26,1393.942,3000,2814.202,1407.101,10,10,"0,85,106,148,182,199,244,266.4,293.2,319.3,398.7","0,58,111,153,231,251.5,289.7,406.7,455.9,488.29,530.29"
